client_id,yearly_income,total_debt,credit_score,num_credit_cards,total_spent,avg_transaction,transaction_count,spending_ratio,debt_ratio,cluster,persona,income_bracket,spending_percentile,debt_percentile,credit_percentile,persona_spending_percentile
CLTIND00001,303996,0,728,1,9593.16,2398.29,4,0.0315568625902972,0.0,3,Premium Low Risk,Low Income,60.679611650485434,19.41747572815534,63.066343042071196,93.11740890688259
CLTIND00002,713049,315841,825,5,45021.67,2813.854375,16,0.0631396580038679,0.4429443137848871,4,Active High Spender,Upper Middle,96.5991902834008,90.44534412955466,93.48178137651821,75.17985611510791
CLTIND00004,441559,121659,757,1,4319.1,4319.1,1,0.0097814788057768,0.275521504487509,2,Affluent Professional,Lower Middle,29.31174089068826,70.76923076923077,75.4251012145749,7.547169811320755
CLTIND00005,1071335,0,719,4,19464.73,3892.946,5,0.0181686680636775,0.0,3,Premium Low Risk,High Income,67.85425101214575,17.28744939271255,60.36437246963563,66.63967611336032
CLTIND00006,1087473,61392,793,3,41642.96,4164.296,10,0.0382933277423899,0.0564538154050721,4,Active High Spender,High Income,94.5748987854251,36.92307692307693,87.24696356275304,31.414868105515588
CLTIND00007,422138,0,552,2,5050.2,5050.2,1,0.011963386380757,0.0,2,Affluent Professional,Lower Middle,37.08502024291498,17.530364372469638,1.7813765182186234,15.437392795883362
CLTIND00008,342438,0,664,1,8676.87,4338.435,2,0.025338513833161,0.0,2,Affluent Professional,Low Income,48.948220064724914,19.41747572815534,32.11974110032362,54.03087478559176
CLTIND00009,297659,0,678,1,3763.04,1881.52,2,0.0126421173221706,0.0,1,Stable Saver,Low Income,24.676375404530745,19.41747572815534,38.75404530744336,56.73758865248227
CLTIND00010,757689,104203,661,5,40608.2,4060.82,10,0.0535948126474054,0.1375274024038886,4,Active High Spender,Upper Middle,93.60323886639677,46.80161943319838,30.48582995951417,61.87050359712231
CLTIND00011,442210,95459,736,1,3783.06,3783.06,1,0.0085548947332715,0.215868026503245,3,Premium Low Risk,Lower Middle,24.777327935222672,60.48582995951417,66.96356275303643,32.14574898785425
CLTIND00012,396514,166668,717,2,2563.81,1281.905,2,0.0064658751015096,0.4203332038717422,0,Debt Heavy,Lower Middle,17.65182186234818,87.77327935222672,57.24696356275304,19.293712316968133
CLTIND00013,306865,0,714,3,4715.8,2357.9,2,0.0153676698222345,0.0,1,Stable Saver,Low Income,31.148867313915858,19.41747572815534,56.593851132686076,65.78014184397163
CLTIND00014,315074,0,716,1,11457.35,2864.3375,4,0.0363639970292693,0.0,3,Premium Low Risk,Low Income,67.39482200647248,19.41747572815534,57.64563106796117,96.2753036437247
CLTIND00015,605856,23111,900,3,9661.87,3220.623333333333,3,0.0159474693656578,0.0381460280990862,3,Premium Low Risk,Upper Middle,44.61538461538462,36.35627530364373,99.51417004048582,59.35222672064777
CLTIND00018,362963,162147,728,2,20970.52,5242.63,4,0.0577759165534779,0.4467314850273995,2,Affluent Professional,Low Income,86.81229773462783,90.93851132686083,63.066343042071196,96.22641509433963
CLTIND00021,496304,0,768,1,6145.37,6145.37,1,0.0123822697379025,0.0,2,Affluent Professional,Lower Middle,38.05668016194332,17.530364372469638,79.23076923076923,17.152658662092623
CLTIND00022,410598,0,648,2,31614.36,3512.706666666667,9,0.0769958937939298,0.0,4,Active High Spender,Lower Middle,98.70445344129554,17.530364372469638,23.765182186234817,88.2494004796163
CLTIND00023,485199,0,791,2,1922.02,961.01,2,0.0039613024758913,0.0,3,Premium Low Risk,Lower Middle,8.178137651821862,17.530364372469638,86.5587044534413,12.064777327935222
CLTIND00024,1209102,513334,677,5,6404.2,2134.733333333333,3,0.0052966581810302,0.424558060444859,0,Debt Heavy,High Income,19.838056680161944,85.82995951417004,39.91902834008097,14.470284237726098
CLTIND00025,556255,0,804,1,9421.22,4710.61,2,0.0169368724775507,0.0,3,Premium Low Risk,Upper Middle,46.80161943319838,17.48987854251012,90.20242914979757,62.91497975708502
CLTIND00026,310385,96719,806,3,26785.72,4464.286666666667,6,0.0862983713774828,0.3116097749569083,4,Active High Spender,Low Income,95.9546925566343,77.26537216828478,90.00809061488673,93.04556354916068
