client_id,yearly_income,total_debt,credit_score,num_credit_cards,total_spent,avg_transaction,transaction_count,spending_ratio,debt_ratio
CLTIND00001,303996,0,728,1,9593.16,2398.29,4,0.03155686259029724,0.0
CLTIND00002,713049,315841,825,5,45021.67,2813.854375,16,0.0631396580038679,0.44294431378488713
CLTIND00004,441559,121659,757,1,4319.1,4319.1,1,0.009781478805776806,0.275521504487509
CLTIND00005,1071335,0,719,4,19464.73,3892.946,5,0.018168668063677562,0.0
CLTIND00006,1087473,61392,793,3,41642.96,4164.296,10,0.03829332774238992,0.056453815405072126
CLTIND00007,422138,0,552,2,5050.2,5050.2,1,0.011963386380757004,0.0
CLTIND00008,342438,0,664,1,8676.87,4338.435,2,0.02533851383316104,0.0
CLTIND00009,297659,0,678,1,3763.04,1881.52,2,0.012642117322170672,0.0
CLTIND00010,757689,104203,661,5,40608.2,4060.8199999999997,10,0.05359481264740546,0.13752740240388867
CLTIND00011,442210,95459,736,1,3783.06,3783.06,1,0.008554894733271522,0.21586802650324508
CLTIND00012,396514,166668,717,2,2563.81,1281.905,2,0.006465875101509657,0.4203332038717422
CLTIND00013,306865,0,714,3,4715.8,2357.9,2,0.015367669822234534,0.0
CLTIND00014,315074,0,716,1,11457.35,2864.3375,4,0.03636399702926932,0.0
CLTIND00015,605856,23111,900,3,9661.87,3220.6233333333334,3,0.015947469365657847,0.03814602809908625
CLTIND00018,362963,162147,728,2,20970.52,5242.63,4,0.057775916553477906,0.4467314850273995
CLTIND00021,496304,0,768,1,6145.37,6145.37,1,0.012382269737902575,0.0
CLTIND00022,410598,0,648,2,31614.36,3512.706666666667,9,0.07699589379392983,0.0
CLTIND00023,485199,0,791,2,1922.02,961.01,2,0.003961302475891335,0.0
CLTIND00024,1209102,513334,677,5,6404.2,2134.733333333333,3,0.005296658181030219,0.42455806044485905
CLTIND00025,556255,0,804,1,9421.22,4710.61,2,0.01693687247755076,0.0
CLTIND00026,310385,96719,806,3,26785.72,4464.286666666667,6,0.08629837137748281,0.31160977495690834
